date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ
8/14/2019,BJXCR,True,155,42,73535.47,Guanajuato,0.94,0,0,0.81,2,14,8,0,0.270967742
8/15/2019,BJXCR,True,155,48,77965.3,Guanajuato,0.9,0,0,0.62,3,15,8,0,0.309677419
8/16/2019,BJXCR,True,155,32,56227.45,Guanajuato,0.94,0,0,0.78,4,16,8,0,0.206451613
8/17/2019,BJXCR,True,155,52,104787.87,Guanajuato,0.91,0,0,0.61,5,17,8,0,0.335483871
8/18/2019,BJXCR,True,155,21,33516.02,Guanajuato,0.94,0,0,0.64,6,18,8,0,0.135483871
8/19/2019,BJXCR,True,155,22,25909.55,Guanajuato,0.92,0,0,0.77,0,19,8,0,0.141935484
8/20/2019,BJXCR,True,155,36,30283.08,Guanajuato,1,0,0,0.77,1,20,8,0,0.232258065
8/21/2019,BJXCR,True,155,38,31223.19,Guanajuato,0.97,0,0,0.68,2,21,8,0,0.24516129
8/22/2019,BJXCR,True,155,5,7450,Guanajuato,0.99,0,0,0.76,3,22,8,0,0.032258065
8/23/2019,BJXCR,True,155,11,17785,Guanajuato,0.93,0,0,0.98,4,23,8,0,0.070967742
8/24/2019,BJXCR,True,155,13,23185,Guanajuato,0.91,0,0,0.8,5,24,8,0,0.083870968
8/25/2019,BJXCR,True,155,1,2236.98,Guanajuato,0.91,0,0,0.73,6,25,8,0,0.006451613
8/26/2019,BJXCR,True,155,3,1690,Guanajuato,0.94,0,0,0.93,0,26,8,0,0.019354839
8/27/2019,BJXCR,True,155,5,1221.29,Guanajuato,0.96,0,0,0.94,1,27,8,0,0.032258065
8/28/2019,BJXCR,True,155,8,4559,Guanajuato,0.95,0,0,1,2,28,8,0,0.051612903
8/29/2019,BJXCR,True,155,5,3190,Guanajuato,0.84,0,0,0.64,3,29,8,0,0.032258065
8/30/2019,BJXCR,True,155,4,1690,Guanajuato,0.91,0,0,0.69,4,30,8,0,0.025806452
8/31/2019,BJXCR,True,155,9,14070.68,Guanajuato,0.9,0,0,0.48,5,31,8,0,0.058064516
9/1/2019,BJXCR,True,155,5,6640,Guanajuato,0.95,0,0,0.66,6,1,9,0,0.032258065
9/2/2019,BJXCR,True,155,5,5422.57,Guanajuato,1,0,0,0.64,0,2,9,0,0.032258065
9/3/2019,BJXCR,True,155,5,1689.81,Guanajuato,0.94,0,0,0.5,1,3,9,0,0.032258065
9/4/2019,BJXCR,True,155,5,2850.19,Guanajuato,0.93,0,0,0.59,2,4,9,0,0.032258065
9/5/2019,BJXCR,True,155,3,1353.47,Guanajuato,0.85,0,0,0.52,3,5,9,0,0.019354839
9/6/2019,BJXCR,True,155,14,20576.67,Guanajuato,0.88,0,0,0.55,4,6,9,0,0.090322581
9/7/2019,BJXCR,True,155,16,24025.46,Guanajuato,0.84,0,0,0.59,5,7,9,0,0.103225806
9/8/2019,BJXCR,True,155,9,12359.83,Guanajuato,0.85,0,0,0.46,6,8,9,0,0.058064516
9/9/2019,BJXCR,True,155,23,28992,Guanajuato,0.83,0,0,0.95,0,9,9,0,0.148387097
9/10/2019,BJXCR,True,155,27,32562.87,Guanajuato,0.9,0,0,0.5,1,10,9,0,0.174193548
9/11/2019,BJXCR,True,155,19,23939.53,Guanajuato,0.88,0,0,0.52,2,11,9,0,0.122580645
9/12/2019,BJXCR,True,155,12,16027.99,Guanajuato,0.83,0,0,1,3,12,9,0,0.077419355
9/13/2019,BJXCR,True,155,58,102581.78,Guanajuato,0.82,0,0,0.43,4,13,9,0,0.374193548
9/14/2019,BJXCR,True,155,144,271893.2,Guanajuato,0.81,0,0,0.51,5,14,9,0,0.929032258
9/15/2019,BJXCR,True,155,144,272663.93,Guanajuato,0.81,0,0,0.4,6,15,9,0,0.929032258
9/16/2019,BJXCR,True,155,27,41411.66,Guanajuato,0.86,1,0,0.56,0,16,9,0,0.174193548
9/17/2019,BJXCR,True,155,29,42993.44,Guanajuato,0.9,0,0,0.55,1,17,9,0,0.187096774
9/18/2019,BJXCR,True,155,30,42008.47,Guanajuato,0.78,0,0,0.45,2,18,9,0,0.193548387
9/19/2019,BJXCR,True,155,37,51255.31,Guanajuato,0.76,0,0,0.53,3,19,9,0,0.238709677
9/20/2019,BJXCR,True,155,48,83769.07,Guanajuato,0.73,0,0,0.47,4,20,9,0,0.309677419
9/21/2019,BJXCR,True,155,76,136819.91,Guanajuato,0.72,0,0,0.42,5,21,9,0,0.490322581
9/22/2019,BJXCR,True,155,16,20367.45,Guanajuato,0.72,0,0,0.46,6,22,9,0,0.103225806
9/23/2019,BJXCR,True,155,12,14956.8,Guanajuato,0.75,0,0,0.49,0,23,9,0,0.077419355
9/24/2019,BJXCR,True,155,19,25078.19,Guanajuato,0.76,0,0,0.27,1,24,9,0,0.122580645
9/25/2019,BJXCR,True,155,88,139858.07,Guanajuato,0.69,0,0,0.17,2,25,9,0,0.567741935
9/26/2019,BJXCR,True,155,96,150587.68,Guanajuato,0.68,0,0,0.53,3,26,9,0,0.619354839
9/27/2019,BJXCR,True,155,68,111078.52,Guanajuato,0.65,0,0,0.41,4,27,9,0,0.438709677
9/28/2019,BJXCR,True,155,96,152697.92,Guanajuato,0.66,0,0,0.2,5,28,9,0,0.619354839
